year,pollutant,value
1995,BOD,35.86
1995,Ammonia,16.75
1995,Phosphorus (Actual TP),21.18
2000,BOD,29.06
2000,Ammonia,9.62
2000,Phosphorus (Actual TP),22.73
2005,BOD,22.97
2005,Ammonia,7.32
2005,Phosphorus (Actual TP),12.77
2010,BOD,21.23
2010,Ammonia,5.27
2010,Phosphorus (Actual TP),11.16
2015,BOD,20.52
2015,Ammonia,4.79
2015,Phosphorus (Actual TP),9.54
2020,BOD,22.29
2020,Ammonia,4.17
2020,Phosphorus (Actual TP),8.34
