Indicator component assessed,Long term,Medium term,Short term
A2 Emissions of greenhouse gases from natural resources in England (net total),Improvement,Improvement,Improvement
J1 Consumption based greenhouse gas emissions in England (total),Improvement,Improvement,Improvement
