decibels,Road_Lden_percentage
40,98.15409768549029
41,97.69363741436916
42,97.10413135583482
43,96.341465602707
44,95.37040098605576
45,94.1458771299951
46,92.6092786327269
47,90.67449767852138
48,88.20545607367761
49,84.87304732148311
50,79.9430995612155
51,71.92392361573103
52,60.02586556828068
53,48.10568996805529
54,38.51217121861395
55,31.529370104158545
56,26.394672945116536
57,22.428526177306622
58,19.235929968409827
59,16.589710426521755
60,14.344647866536487
61,12.339354312760353
62,10.557741548309686
63,9.005483025946665
64,7.597715424235979
65,6.283045876283327
66,5.056433435530163
67,3.9640614554026383
68,3.0241996703775644
69,2.2596630898735133
70,1.66203141646297
71,1.2115767676809472
72,0.8841805794879535
73,0.6405110623443001
74,0.4523786109952287
75,0.3075977128070989
