decibels,Rail_Lnight_percentage
35,13.71043775211344
36,11.851778207976814
37,10.214100719029863
38,8.794569535232519
39,7.573952299991269
40,6.530380050942998
41,5.647071244731584
42,4.90195842904704
43,4.263645566187205
44,3.725737279646836
45,3.258232337415964
46,2.854053628540702
47,2.495621334878618
48,2.1785207528164032
49,1.8893254097596592
50,1.6284268388002971
51,1.3971971388333126
52,1.1863372751348478
53,0.9998461552000124
54,0.8268202190582274
55,0.6777729260262993
56,0.5473061418115476
57,0.4375199798886783
58,0.3426778968752715
59,0.2606578152451232
60,0.1992674424573718
61,0.1488866654314833
62,0.1093143946106314
63,0.0777540509483494
64,0.0558853361671297
65,0.039413376293714
66,0.0261608653535675
67,0.0173495669745549
68,0.0116885360719209
69,0.0078915139326062
70,0.004744288176725
71,0.0030903880251944
72,0.0015462020246224
73,0.0008477027443903
74,0.0006364976984686
75,0.0005049963402276
