decibels,Road_Lnight_percentage
35,91.12288003908024
36,87.75567069044695
37,82.56533420388257
38,74.37430346866688
39,64.07866502828757
40,53.88190110807996
41,45.2698610994165
42,38.40437240231792
43,32.880073043266655
44,28.34833196552616
45,24.575172689413844
46,21.46056827174692
47,18.86515118212765
48,16.714445106394255
49,14.97629042889318
50,13.560744164213546
51,12.319644902733804
52,11.154061852453104
53,10.000042026433604
54,8.844386603638823
55,7.691289338519904
56,6.522480225332293
57,5.378315060875624
58,4.316928657415684
59,3.375550771933178
60,2.568283192026161
61,1.9186729371290407
62,1.4185437387542954
63,1.0380878147786925
64,0.7568609659413248
65,0.5510987782143312
66,0.3890225230143823
67,0.2665372487532276
68,0.1745736236578123
69,0.1114993402552526
70,0.0684212036105894
71,0.0422056403413362
72,0.024531051384114
73,0.0153043105753274
74,0.0091832194474859
75,0.0056425683665926
