decibels,Air_Lnight_percentage
45,0.7497365685703524
46,0.6246176242593637
47,0.5206765686021184
48,0.4320705399766809
49,0.3194333721603801
50,0.2360683912199306
51,0.1786280564364397
52,0.1298111996926326
53,0.0999460747324297
54,0.0740308828265923
55,0.049485950633963
56,0.0283401852083978
57,0.015183633428867
58,0.0072694258667981
59,0.0047725165788144
60,0.0030126939617352
61,0.0013636691538671
62,0.0005322628409069
63,0.0002017142746239
64,3.6133104191676494e-05
65,1.4143347421022384e-05
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
