decibels,Rail_Lden_percentage
40,20.593314229752856
41,18.144312577257207
42,15.864607518600348
43,13.787322416144148
44,11.93956106015071
45,10.308291760401
46,8.901636611853588
47,7.686366371609261
48,6.651993418558005
49,5.780936418596046
50,5.032416984477991
51,4.393991747493783
52,3.8551517901473455
53,3.391454751353301
54,2.984151621820283
55,2.6212211930094416
56,2.2947264221141848
57,1.9995092855167127
58,1.7298684541222595
59,1.4866467801668917
60,1.2697873789516267
61,1.0737096067987235
62,0.8965967793865572
63,0.7406142474504137
64,0.6038764671745336
65,0.4876119428757995
66,0.3858338606828374
67,0.2995456093764778
68,0.2264757984918343
69,0.1693964427584972
70,0.1250028701629385
71,0.090254915466685
72,0.0666264866911212
73,0.0448316343041993
74,0.0321449490769781
75,0.0210456228845961
