Component,Subcomponent,Period,Date range,Percentage change,Smoothing function,Assessment of change
E5,Hardwood and softwood,Short term,2018 to 2023,-18.750000000000004,Unsmoothed,Deterioration
E5,Hardwood and softwood,Medium term,2013 to 2023,-16.824644549763036,Unsmoothed,Deterioration
E5,Hardwood and softwood,Long term,2010 to 2023,-1.4044943820224718,Unsmoothed,Little or no change
