Year,Series,Area,Value
2008/2009,C3bii (interim),Greater North Sea,82.6086956521739
2009/2010,C3bii (interim),Greater North Sea,71.1111111111111
2010/2011,C3bii (interim),Greater North Sea,76.0869565217391
2011/2012,C3bii (interim),Greater North Sea,78.2608695652174
2012/2013,C3bii (interim),Greater North Sea,76.0869565217391
2013/2014,C3bii (interim),Greater North Sea,78.2608695652174
1992/1993,C3bii (interim),Celtic Seas,82.5
1993/1994,C3bii (interim),Celtic Seas,82.5
1994/1995,C3bii (interim),Celtic Seas,90.0
1995/1996,C3bii (interim),Celtic Seas,80.0
1996/1997,C3bii (interim),Celtic Seas,90.0
1997/1998,C3bii (interim),Celtic Seas,85.0
1998/1999,C3bii (interim),Celtic Seas,82.5
1999/2000,C3bii (interim),Celtic Seas,85.0
2000/2001,C3bii (interim),Celtic Seas,90.0
2001/2002,C3bii (interim),Celtic Seas,70.0
2002/2003,C3bii (interim),Celtic Seas,80.0
2003/2004,C3bii (interim),Celtic Seas,82.5
2004/2005,C3bii (interim),Celtic Seas,80.0
2005/2006,C3bii (interim),Celtic Seas,67.5
2006/2007,C3bii (interim),Celtic Seas,70.0
2007/2008,C3bii (interim),Celtic Seas,62.5
2008/2009,C3bii (interim),Celtic Seas,60.0
2009/2010,C3bii (interim),Celtic Seas,62.5
2010/2011,C3bii (interim),Celtic Seas,65.0
2011/2012,C3bii (interim),Celtic Seas,50.0
2012/2013,C3bii (interim),Celtic Seas,55.0
2013/2014,C3bii (interim),Celtic Seas,55.0
2014/2015,C3bii (interim),Celtic Seas,52.5
