Component,Period,Date range,Percentage change,Smoothing function,Assessment of change
A3i,Short term,2018 to 2023,-22.101090188305246,Moving average data,Improvement
A3i,Medium term,N/A,N/A,N/A,Not assessed
A3i,Long term,N/A,N/A,N/A,Not assessed
