Component,Subcomponent,Period,Date range,Percentage change,Smoothing function,Assessment of change
C1c,Celtic Seas,Short term,2014 to 2019,-12.640930173706701,Loess,Improvement
C1c,Celtic Seas,Medium term,N/A,N/A,N/A,Not assessed
C1c,Celtic Seas,Long term,N/A,N/A,N/A,Not assessed
C1c,Greater North Sea,Short term,2014 to 2019,11.930358096406318,Loess,Deterioration
C1c,Greater North Sea,Medium term,N/A,N/A,N/A,Not assessed
C1c,Greater North Sea,Long term,N/A,N/A,N/A,Not assessed
