date,location_code,measure,value
2019-01-13,UK020,smoothed_values,810.7560087675977
2019-01-26,UK049,smoothed_values,793.58741298293
2019-02-15,UK048,smoothed_values,768.0089070239161
2019-04-07,UK020,smoothed_values,709.4776455421503
2019-04-13,UK049,smoothed_values,703.1775230317522
2019-04-15,UK048,smoothed_values,701.0216216326717
2019-04-20,UK050,smoothed_values,695.5177546906688
2019-06-22,UK049,smoothed_values,617.527899314536
2019-07-06,UK050,smoothed_values,599.5924737561369
2019-07-07,UK043,smoothed_values,598.3237437469942
2019-07-14,UK020,smoothed_values,589.5107041097872
2019-09-18,UK048,smoothed_values,518.6054029745122
2019-09-20,UK043,smoothed_values,516.981992784039
2019-09-21,UK020,smoothed_values,516.185550416261
2019-09-21,UK050,smoothed_values,516.185550416261
2019-09-21,UK049,smoothed_values,516.185550416261
2019-12-14,UK049,smoothed_values,460.9934526578639
2019-12-15,UK043,smoothed_values,460.46353127342456
2020-01-05,UK020,smoothed_values,449.9670274788554
2020-01-25,UK050,smoothed_values,441.0502308175566
2020-02-25,UK048,smoothed_values,429.1738025553153
2020-09-19,UK020,smoothed_values,395.119358753216
2020-09-20,UK050,smoothed_values,395.0858637267056
2020-09-20,UK043,smoothed_values,395.0858637267056
2020-12-11,UK049,smoothed_values,394.2432477139811
2021-06-28,UK049,smoothed_values,388.8017673556209
2021-07-11,UK020,smoothed_values,387.4786916540253
2021-09-18,UK050,smoothed_values,382.4647595279637
2021-09-18,UK020,smoothed_values,382.4647595279637
2021-09-21,UK048,smoothed_values,382.313810800496
2021-09-23,UK049,smoothed_values,382.2158942663505
2021-12-12,UK043,smoothed_values,379.7884293248427
2022-01-07,UK049,smoothed_values,379.4690276823442
2022-01-09,UK020,smoothed_values,379.450826492823
2022-04-02,UK050,smoothed_values,379.0870053566429
2022-04-03,UK048,smoothed_values,379.0834946131618
2022-04-03,UK043,smoothed_values,379.0834946131618
2022-04-06,UK049,smoothed_values,379.0726231211689
2022-04-10,UK020,smoothed_values,379.05747776403865
2022-06-19,UK048,smoothed_values,378.85774868960544
2022-07-08,UK049,smoothed_values,378.89802552699166
2022-07-10,UK020,smoothed_values,378.9063902523921
2022-09-17,UK020,smoothed_values,379.8812668324851
