Component,Period,Date range,Percentage change,Smoothing function,Assessment of change
C1b,Short term,2014-2018 to 2019-2023,-22.916666666666664,Rolling average,Improvement
C1b,Medium term,2009-2013 to 2019-2023,-39.34426229508197,Rolling average,Improvement
C1b,Long term,2004-2008 to 2019-2023,-40.32258064516129,Rolling average,Improvement
