year,area,percentage
2012,Greater North Sea,57.0
2012,Celtic Seas,47.0
2013,Greater North Sea,67.0
2013,Celtic Seas,49.0
2014,Greater North Sea,69.0
2014,Celtic Seas,53.0
2015,Greater North Sea,59.0
2015,Celtic Seas,43.0
2016,Greater North Sea,69.0
2016,Celtic Seas,38.0
2017,Greater North Sea,76.0
2017,Celtic Seas,40.0
2018,Greater North Sea,73.0
2018,Celtic Seas,45.0
2019,Greater North Sea,75.0
2019,Celtic Seas,43.0
