Component,Subcomponent,Period,Date range,Percentage change,Smoothing function,Assessment of change
E6,All English sources (softwood and hardwood combined),Short term,2018 to 2023,-11.40893470790379,Unsmoothed,Deterioration
E6,All English sources (softwood and hardwood combined),Medium term,2013 to 2023,-0.15491866769945792,Unsmoothed,Little or no change
E6,All English sources (softwood and hardwood combined),Long term,2010 to 2023,12.674825174825177,Unsmoothed,Improvement
