Component,Period,Date range,Percent change,Smoothing function,Assessment of change
Widespread butterflies in woodland,Short term,2016 to 2021,2.94,Smoothed data,Little or no change
Widespread butterflies in woodland,Medium term,2011 to 2021,3.16,Smoothed data,Little or no change
Widespread butterflies in woodland,Long term,1990 to 2021,-45.51,Smoothed data,Deterioration
