Component,Period,Date range,Percent change,Smoothing function,Assessment of change
Widespread butterflies on farmland,Short term,2016 to 2021,5.54,Smoothed data,Little or no change
Widespread butterflies on farmland,Medium term,2011 to 2021,9.47,Smoothed data,Little or no change
Widespread butterflies on farmland,Long term,1990 to 2018,-11.82,Smoothed data,Little or no change
