Component,Period,Date range,Percent change,Smoothing function,Assessment of change
Abundance of widespread bats,Short term,2014 to 2019,9.08,Smoothed data,Improvement
Abundance of widespread bats,Medium term,N/A,N/A,N/A,Not assessed
Abundance of widespread bats,Long term,1999 to 2019,43.88,Smoothed data,Improvement
