Component,Period,Date range,Percent change,Smoothing function,Assessment of change
Breeding wild birds in woodland,Short term,2013 to 2018,-6.01,Smoothed data,Deterioration
Breeding wild birds in woodland,Medium term,N/A,N/A,N/A,Not assessed
Breeding wild birds in woodland,Long term,1970 to 2018,-27.55,Smoothed data,Deterioration
