Year,Ecosystem,Value
1960-69,Freshwater,4
1970-79,Freshwater,6
1980-89,Freshwater,11
1990-99,Freshwater,12
2000-09,Freshwater,12
2010-19,Freshwater,13
1960-69,Marine,2
1970-79,Marine,5
1980-89,Marine,11
1990-99,Marine,14
2000-09,Marine,24
2010-19,Marine,29
1960-69,Terrestrial,28
1970-79,Terrestrial,37
1980-89,Terrestrial,45
1990-99,Terrestrial,51
2000-09,Terrestrial,57
2010-19,Terrestrial,61
