Indicator component assessed,Long term,Medium term,Short term
"F1a Number of properties in areas at different levels of risk of flooding from rivers and the sea, and from surface water",Not assessed,Not assessed,Not assessed
F1b Number of properties in areas at risk of flooding by source each year in England,Not assessed,Not assessed,Not assessed
F2a Number of properties registered for free flood warnings in England,Not assessed,Not assessed,Not assessed
"F2b Percentage of flood or coastal risk management assets, in high consequence systems, in required condition in England",Not assessed,Not assessed,Not assessed
F3 Supply Demand Balance Index (SDBI) status by water company,Not assessed,Not assessed,Not assessed
