Component,Period,Date range,Percentage change,Smoothing function,Assessment of change
A6i,Short term,2015-2017 to 2020-2022,-0.600600600600609,Moving average data,Little or no change
A6i,Medium term,2010-2012 to 2020-2022,-0.7000000000000028,Moving average data,Little or no change
A6i,Long term,2002-2004 to 2020-2022,-0.7000000000000028,Moving average data,Little or no change
