Component,Period,Date range,Percentage change,Smoothing function,Assessment of change
A6ii,Short term,2015-2017 to 2020-2022,-10.624999999999996,Moving average data,Improvement
A6ii,Medium term,2010-2012 to 2020-2022,-18.750000000000004,Moving average data,Improvement
A6ii,Long term,2002-2004 to 2020-2022,-25.520833333333325,Moving average data,Improvement
