Component,Period,Date range,Percentage change,Smoothing function,Assessment of change
E8b,Short term,2018/2019 to 2023/2024,0.1396273220275221,Loess,Little or no change
E8b,Medium term,2013/2014 to 2023/2024,-2.684719841670379,Loess,Little or no change
E8b,Long term,2005/2006 to 2023/2024,-13.96657170711302,Loess,Improvement
