Component,Subcomponent,Period,Date range,Percentage change,Smoothing function,Assessment of change
J5bi,Percentage incinerated,Short term,2018 to 2023,12.996419573692771,None,Improvement
J5bi,Percentage incinerated,Medium term,2013 to 2023,48.861240236993794,None,Improvement
J5bi,Percentage incinerated,Long term,2000 to 2023,225.97477430082444,None,Improvement
