Red List Index category,Percentage
Threatened categories,12.035355369899504
Extinct,1.7798764983654196
Critically endangered,1.9493885458287927
Endangered,3.656617023852767
Vulnerable,6.4293498002179446
Near threatened,5.981353674779029
Least concern,80.20341445695604
