year,category,value
2001,Biomass,4.812967300415039
2002,Biomass,5.374475479125977
2003,Biomass,5.107608795166016
2004,Biomass,6.016583442687988
2005,Biomass,5.80958366394043
2006,Biomass,5.278112888336182
2007,Biomass,5.099152088165283
2008,Biomass,4.728282451629639
2009,Biomass,4.463911056518555
2010,Biomass,4.312108993530273
2011,Biomass,4.2555460929870605
2012,Biomass,4.466721057891846
2013,Biomass,4.284228801727295
2014,Biomass,4.653274059295654
2015,Biomass,4.488340377807617
2016,Biomass,4.268477439880371
2017,Biomass,4.099277973175049
2018,Biomass,4.184210777282715
2019,Biomass,4.321532249450684
2020,Biomass,3.8525753021240234
2021,Biomass,4.402801990509033
2001,Non-metallic mineral materials,8.635028839111328
2002,Non-metallic mineral materials,9.923656463623047
2003,Non-metallic mineral materials,11.21670913696289
2004,Non-metallic mineral materials,11.515182495117188
2005,Non-metallic mineral materials,11.006592750549316
2006,Non-metallic mineral materials,10.71319580078125
2007,Non-metallic mineral materials,10.607014656066895
2008,Non-metallic mineral materials,8.819694519042969
2009,Non-metallic mineral materials,6.705445766448975
2010,Non-metallic mineral materials,6.6106343269348145
2011,Non-metallic mineral materials,7.4189605712890625
2012,Non-metallic mineral materials,7.40092658996582
2013,Non-metallic mineral materials,6.398523807525635
2014,Non-metallic mineral materials,8.368536949157715
2015,Non-metallic mineral materials,9.21387004852295
2016,Non-metallic mineral materials,6.529323577880859
2017,Non-metallic mineral materials,6.544461727142334
2018,Non-metallic mineral materials,8.547233581542969
2019,Non-metallic mineral materials,8.287383079528809
2020,Non-metallic mineral materials,7.651888847351074
2021,Non-metallic mineral materials,8.805603981018066
2001,Metal ores,1.0920177698135376
2002,Metal ores,1.2278764247894287
2003,Metal ores,1.101641058921814
2004,Metal ores,1.4344172477722168
2005,Metal ores,1.3832342624664307
2006,Metal ores,1.3146228790283203
2007,Metal ores,1.2845191955566406
2008,Metal ores,1.1193485260009766
2009,Metal ores,0.9770792126655579
2010,Metal ores,0.9877959489822388
2011,Metal ores,1.0168118476867676
2012,Metal ores,1.1213525533676147
2013,Metal ores,1.2055189609527588
2014,Metal ores,1.1771128177642822
2015,Metal ores,1.0947171449661255
2016,Metal ores,0.9224252104759216
2017,Metal ores,0.9349231123924255
2018,Metal ores,1.0013495683670044
2019,Metal ores,1.0136927366256714
2020,Metal ores,0.8876901268959045
2021,Metal ores,1.0609161853790283
2001,Total,14.540014266967773
2002,Total,16.52600860595703
2003,Total,17.42595863342285
2004,Total,18.966182708740234
2005,Total,18.199411392211914
2006,Total,17.305931091308594
2007,Total,16.990686416625977
2008,Total,14.667325973510742
2009,Total,12.146435737609863
2010,Total,11.910539627075195
2011,Total,12.69131851196289
2012,Total,12.98900032043457
2013,Total,11.888272285461426
2014,Total,14.198923110961914
2015,Total,14.796927452087402
2016,Total,11.720226287841797
2017,Total,11.578662872314453
2018,Total,13.732793807983398
2019,Total,13.622608184814453
2020,Total,12.392154693603516
2021,Total,14.269323348999023
