year,value
2001,1.7071934
2002,1.5215907
2003,1.4826344
2004,1.3862574
2005,1.4801575
2006,1.5894116
2007,1.65474
2008,1.9043263
2009,2.1757982
2010,2.2649856
2011,2.141905
2012,2.1220374
2013,2.3459392
2014,2.0138237
2015,1.9557337
2016,2.497324
2017,2.5834627
2018,2.195905
2019,2.240782
2020,2.2156103
2021,2.0874176
