Year,Value
1995-1997,98.3
1996-1998,
1997-1999,
1998-2000,97.6
1999-2001,97.7
2000-2002,
2001-2003,97.8
2002-2004,97.6
2003-2005,97.5
2004-2006,96.7
2005-2007,96.5
2006-2008,96.1
2007-2009,96.4
2008-2010,96.5
2009-2011,97.0
2010-2012,96.5
2011-2013,96.0
2012-2014,95.9
2013-2015,95.8
2014-2016,95.7
2015-2017,94.8
2016-2018,95.1
2017-2019,95.6
