Year,Value,Series
2002-2003,3152.4385471090386,E8a
2003-2004,3298.970168379515,E8a
2004-2005,3365.2887656054386,E8a
2005-2006,3347.7287018676507,E8a
2006-2007,3279.145944228412,E8a
2007-2008,3187.276666666666,E8a
2008-2009,3102.773333333333,E8a
2009-2010,3062.08,E8a
2010-2011,3087.7700000000004,E8a
2011-2012,3041.396666666667,E8a
2012-2013,3001.25,E8a
2013-2014,2921.773333333334,E8a
2014-2015,2919.8233333333337,E8a
2015-2016,2897.763333333334,E8a
2016-2017,2898.91,E8a
2017-2018,2914.2533333333326,E8a
2018-2019,2945.373333333333,E8a
2019-2020,2903.26,E8a
2020-2021,2857.175166666668,E8a
2003-2004,151.62890987636194,E8b
2004-2005,151.63021682277432,E8b
2005-2006,151.80755507256603,E8b
2006-2007,149.65533678549707,E8b
2007-2008,148.7265002635376,E8b
2008-2009,146.8014433749751,E8b
2009-2010,146.15420936120745,E8b
2010-2011,145.81188253694958,E8b
2011-2012,145.49819174834423,E8b
2012-2013,143.3447903074247,E8b
2013-2014,141.59206666946343,E8b
2014-2015,139.75134591459752,E8b
2015-2016,139.78965904038816,E8b
2016-2017,139.51617109269472,E8b
2017-2018,140.31421488252724,E8b
2018-2019,141.4950932577356,E8b
2019-2020,141.3835028141581,E8b
2020-2021,145.0098129716803,E8b
