Year,Series,Trendline,Value
2002,D4d (interim),SI Upper CL,101.849
2003,D4d (interim),SI Upper CL,100.43104
2004,D4d (interim),SI Upper CL,99.06608
2005,D4d (interim),SI Upper CL,97.78708
2006,D4d (interim),SI Upper CL,96.66104
2007,D4d (interim),SI Upper CL,95.757
2008,D4d (interim),SI Upper CL,95.157
2009,D4d (interim),SI Upper CL,94.88708
2010,D4d (interim),SI Upper CL,94.91424
2011,D4d (interim),SI Upper CL,95.23328
2012,D4d (interim),SI Upper CL,95.8758
2013,D4d (interim),SI Upper CL,96.89196
2014,D4d (interim),SI Upper CL,98.26636
2015,D4d (interim),SI Upper CL,100.05208
2016,D4d (interim),SI Upper CL,102.344
2017,D4d (interim),SI Upper CL,105.24112
2018,D4d (interim),SI Upper CL,108.73824
2019,D4d (interim),SI Upper CL,112.7672
1999,D4e (interim),Unsmoothed Index,100.0
2000,D4e (interim),Unsmoothed Index,97.15023499
2001,D4e (interim),Unsmoothed Index,103.8879639
2002,D4e (interim),Unsmoothed Index,96.13985165
2003,D4e (interim),Unsmoothed Index,105.1523998
2004,D4e (interim),Unsmoothed Index,106.6283083
2005,D4e (interim),Unsmoothed Index,113.741003
2006,D4e (interim),Unsmoothed Index,115.8034963
2007,D4e (interim),Unsmoothed Index,117.1679703
2008,D4e (interim),Unsmoothed Index,123.1397239
2009,D4e (interim),Unsmoothed Index,121.5871203
2010,D4e (interim),Unsmoothed Index,117.2202768
2011,D4e (interim),Unsmoothed Index,122.6117689
2012,D4e (interim),Unsmoothed Index,115.8199154
2013,D4e (interim),Unsmoothed Index,126.291433
2014,D4e (interim),Unsmoothed Index,118.9543155
2015,D4e (interim),Unsmoothed Index,134.0418892
2016,D4e (interim),Unsmoothed Index,129.5701719
2017,D4e (interim),Unsmoothed Index,131.8102718
2018,D4e (interim),Unsmoothed Index,134.07312
2019,D4e (interim),Unsmoothed Index,137.0454243
1999,D4e (interim),Smoothed Index (SI),100.0
2000,D4e (interim),Smoothed Index (SI),102.632223
2001,D4e (interim),Smoothed Index (SI),105.202844
2002,D4e (interim),Smoothed Index (SI),107.2295262
2003,D4e (interim),Smoothed Index (SI),110.0353768
2004,D4e (interim),Smoothed Index (SI),113.7243531
2005,D4e (interim),Smoothed Index (SI),117.9357519
2006,D4e (interim),Smoothed Index (SI),121.7849136
2007,D4e (interim),Smoothed Index (SI),124.8091537
2008,D4e (interim),Smoothed Index (SI),126.6899064
2009,D4e (interim),Smoothed Index (SI),127.1384764
2010,D4e (interim),Smoothed Index (SI),126.8967721
2011,D4e (interim),Smoothed Index (SI),127.0392946
2012,D4e (interim),Smoothed Index (SI),127.683059
2013,D4e (interim),Smoothed Index (SI),129.4277249
2014,D4e (interim),Smoothed Index (SI),131.941969
2015,D4e (interim),Smoothed Index (SI),135.2733345
2016,D4e (interim),Smoothed Index (SI),137.88297
2017,D4e (interim),Smoothed Index (SI),139.820202
2018,D4e (interim),Smoothed Index (SI),141.6213457
2019,D4e (interim),Smoothed Index (SI),143.3699653
1999,D4e (interim),SI Lower CL,100.0
2000,D4e (interim),SI Lower CL,100.2488789
2001,D4e (interim),SI Lower CL,100.4989647
2002,D4e (interim),SI Lower CL,100.8254384
2003,D4e (interim),SI Lower CL,102.3767021
2004,D4e (interim),SI Lower CL,105.3026291
2005,D4e (interim),SI Lower CL,109.2704869
2006,D4e (interim),SI Lower CL,112.554976
2007,D4e (interim),SI Lower CL,114.9085732
2008,D4e (interim),SI Lower CL,116.1518075
2009,D4e (interim),SI Lower CL,116.7165454
2010,D4e (interim),SI Lower CL,116.634214
2011,D4e (interim),SI Lower CL,117.0740364
2012,D4e (interim),SI Lower CL,117.8067238
2013,D4e (interim),SI Lower CL,119.3313801
2014,D4e (interim),SI Lower CL,121.6537384
2015,D4e (interim),SI Lower CL,124.3863986
2016,D4e (interim),SI Lower CL,126.5943676
2017,D4e (interim),SI Lower CL,128.9660612
2018,D4e (interim),SI Lower CL,129.8306213
2019,D4e (interim),SI Lower CL,129.5340625
1999,D4e (interim),SI Upper CL,100.0
2000,D4e (interim),SI Upper CL,104.8386957
2001,D4e (interim),SI Upper CL,109.3954392
2002,D4e (interim),SI Upper CL,112.7080302
2003,D4e (interim),SI Upper CL,116.1789749
2004,D4e (interim),SI Upper CL,121.2623327
2005,D4e (interim),SI Upper CL,127.265777
2006,D4e (interim),SI Upper CL,131.5998497
2007,D4e (interim),SI Upper CL,134.9521997
2008,D4e (interim),SI Upper CL,137.0391968
2009,D4e (interim),SI Upper CL,137.864102
2010,D4e (interim),SI Upper CL,137.6245477
2011,D4e (interim),SI Upper CL,138.2906821
2012,D4e (interim),SI Upper CL,138.7732084
2013,D4e (interim),SI Upper CL,141.195934
2014,D4e (interim),SI Upper CL,144.248109
2015,D4e (interim),SI Upper CL,148.5667072
2016,D4e (interim),SI Upper CL,151.5290039
2017,D4e (interim),SI Upper CL,154.2496566
2018,D4e (interim),SI Upper CL,156.6866595
2019,D4e (interim),SI Upper CL,160.48144
