Component,Period,Date range,Percentage change,Smoothing function,Assessment of change
E3,Short term,2018/2019 to 2023/2024,-4.589954095773913,Loess,Change (decreasing)
E3,Medium term,2013/2014 to 2023/2024,-4.788519477793171,Loess,Change (decreasing)
E3,Long term,1990/1991 to 2023/2024,-15.337941669826987,Loess,Change (decreasing)
