year,value
2005,5.64673596
2006,5.603988689
2007,5.174586839
2008,4.74184453
2009,4.447573114
2010,4.396392151
2011,3.985827266
2012,4.492309966
2013,3.937311637
2014,4.016230364
2015,4.025230625
2016,3.603796735
2017,3.548874234
2018,3.697569373
2019,3.780231182
2020,3.843986679
2021,4.026072316
2022,4.07634096
