year,value
2005,837281575003.829
2006,868759723062.736
2007,731625534488.339
2008,636136758123.01
2009,634731710149.282
2010,691298308721.325
2011,704593965802.022
2012,716915303878.866
2013,707720910483.604
2014,699106780288.333
2015,726286597168.718
2016,621535128880.751
2017,640979007634.971
2018,683346828140.618
2019,730713245554.633
2020,759072225343.633
2021,797321835851.958
