Component,Period,Date range,Percentage change,Smoothing function,Assessment of change
K1c,Short term,2017 to 2022,12.287463704455764,Loess,Deterioration
K1c,Medium term,2012 to 2022,-0.3300767167697974,Loess,Little or no change
K1c,Long term,2005 to 2022,-28.492639320272367,Loess,Improvement
