category,percentage
Unassessed,21.450151057401808
Data deficient,6.6465256797583
Least concern,12.990936555891238
Near threatened,3.1722054380664595
Vulnerable,11.32930513595166
Endangered,15.25679758308157
Critically endangered,21.90332326283988
Extinct in the wild,0.60422960725075
Extinct,6.6465256797583
Threatened categories,48.489425981873104
