Component,Subcomponent,Period,Date range,Percentage change,Smoothing function,Assessment of change
D4bii,Widespread butterflies on farmland,Short term,2016 to 2021,5.54,Smoothed data,Little or no change
D4bii,Widespread butterflies on farmland,Medium term,2011 to 2021,9.47,Smoothed data,Little or no change
D4bii,Widespread butterflies on farmland,Long term,1990 to 2021,-11.82,Smoothed data,Little or no change
