Component,Subcomponent,Period,Date range,Percentage change,Smoothing function,Assessment of change
D4i,Smoothed index (options 1 and 2),Short term,2018 to 2023,1.8 to 2.5,Smoothed data,Little or no change
D4i,Smoothed index (options 1 and 2),Medium term,2013 to 2023,1.4 to 2.5,Smoothed data,Little or no change
D4i,Smoothed index (options 1 and 2),Long term,1970 to 2023,-32.5 to -33.4,Smoothed data,Deterioration
