Component,Subcomponent,Period,Date range,Percentage change,Smoothing function,Assessment of change
J6a,Total active sites,Short term,2018/2019 to 2023/2024,-47.553914135727496,Loess,Improvement
J6a,Total active sites,Medium term,2013/2014 to 2023/2024,-51.22767302385108,Loess,Improvement
J6a,Total active sites,Long term,2009/2010 to 2023/2024,-53.89386196062891,Loess,Improvement
