Component,Period,Date range,Percentage change,Smoothing function,Assessment of change
E2,Short term,2018/2019 to 2023/2024,2.0991905284808965,Loess,Little or no change
E2,Medium term,2013/2014 to 2023/2024,4.018318978441054,Loess,Change (increasing)
E2,Long term,1990/1991 to 2023/2024,6.902946924745831,Loess,Change (increasing)
