Year,Value
2011/2012,1425.0
2012/2013,2850.0
2013/2014,6446.0
2014/2015,7646.0
2015/2016,17000.0
2016/2017,39000.0
2017/2018,49000.0
2018/2019,65000.0
2019/2020,317000.0
2020/2021,398000.0
2021/2022,399000.0
2022/2023,413000.0
