Component,Subcomponent,Period,Date range,Percentage change,Smoothing function,Assessment of change
H1,Freshwater,Short term,N/A,N/A,N/A,Not assessed
H1,Freshwater,Medium term,N/A,N/A,N/A,Not assessed
H1,Freshwater,Long term,1969 to 2020,250.0,Unsmoothed,Deterioration
H1,Marine (Coastal),Short term,N/A,N/A,N/A,Not assessed
H1,Marine (Coastal),Medium term,N/A,N/A,N/A,Not assessed
H1,Marine (Coastal),Long term,1969 to 2020,1350.0,Unsmoothed,Deterioration
H1,Terrestrial,Short term,N/A,N/A,N/A,Not assessed
H1,Terrestrial,Medium term,N/A,N/A,N/A,Not assessed
H1,Terrestrial,Long term,1969 to 2020,121.42857142857142,Unsmoothed,Deterioration
