Component,Subcomponent,Period,Date range,Percentage change,Smoothing function,Assessment of change
E9a,Percentage sustainable,Short term,2015 to 2020,-2.6651844342647983,Loess,Little or no change
E9a,Percentage sustainable,Medium term,2010 to 2020,211.77899129733913,Loess,Improvement
E9a,Percentage sustainable,Long term,2009 to 2020,271.3313805454004,Loess,Improvement
